epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,68.3393,1.17031,0.91686,1.404,0.78638,1,0.89412,0.76825,0.62758,0.81678,1.204,0.000742625,0.000742625,0.000742625
43,69.8455,1.12276,0.88002,1.37765,0.78026,0.96667,0.90146,0.76949,0.61606,0.90668,1.18858,0.00073025,0.00073025,0.00073025
44,71.3576,1.13447,0.87214,1.38822,0.7893,0.99501,0.91896,0.78904,0.66052,0.83658,1.18946,0.000717875,0.000717875,0.000717875
45,72.8963,1.14857,0.86836,1.42801,0.79877,1,0.9179,0.79069,0.63336,0.79664,1.17046,0.0007055,0.0007055,0.0007055
46,74.4156,1.10651,0.8723,1.32228,0.80072,0.99371,0.90894,0.76173,0.63176,0.78991,1.18641,0.000693125,0.000693125,0.000693125
47,75.9094,1.11741,0.86543,1.36785,0.80627,0.98141,0.8821,0.73234,0.69136,0.81508,1.20275,0.00068075,0.00068075,0.00068075
48,77.4146,1.13848,0.90057,1.35423,0.80277,0.99058,0.89596,0.75257,0.709,0.80776,1.19793,0.000668375,0.000668375,0.000668375
49,78.871,1.12771,0.85453,1.36825,0.79332,0.99216,0.90442,0.76667,0.6579,0.80369,1.19017,0.000656,0.000656,0.000656
50,80.3293,1.1011,0.84857,1.31013,0.80306,0.98373,0.90571,0.77419,0.62014,0.81857,1.20004,0.000643625,0.000643625,0.000643625
51,81.752,1.12608,0.84543,1.36071,0.80642,0.9914,0.90137,0.76617,0.639,0.79332,1.21013,0.00063125,0.00063125,0.00063125
52,83.1852,1.14088,0.84,1.37084,0.80439,0.99394,0.91796,0.78362,0.61601,0.76178,1.18278,0.000618875,0.000618875,0.000618875
53,84.6427,1.08427,0.84001,1.36767,0.81004,0.98,0.92566,0.7875,0.61343,0.76358,1.17457,0.0006065,0.0006065,0.0006065
54,86.0836,1.14111,0.85229,1.38968,0.79699,0.99207,0.90941,0.77412,0.63446,0.81129,1.17084,0.000594125,0.000594125,0.000594125
55,87.4827,1.10957,0.84828,1.35694,0.78946,0.9946,0.90364,0.77116,0.59405,0.80282,1.18195,0.00058175,0.00058175,0.00058175
56,88.8998,1.03727,0.81777,1.32318,0.79228,0.98923,0.91847,0.77987,0.59528,0.78423,1.17916,0.000569375,0.000569375,0.000569375
57,90.3175,1.07137,0.83301,1.33362,0.79376,0.98682,0.91267,0.78033,0.60503,0.80889,1.17064,0.000557,0.000557,0.000557
58,91.742,1.07318,0.80753,1.35211,0.79767,0.98403,0.90081,0.75547,0.60926,0.84018,1.17701,0.000544625,0.000544625,0.000544625
59,93.1825,1.05789,0.82306,1.4163,0.80413,0.98039,0.89467,0.75454,0.64016,0.83079,1.16714,0.00053225,0.00053225,0.00053225
60,94.6271,1.13817,0.8398,1.34342,0.79975,0.97524,0.91386,0.77068,0.64373,0.82998,1.16443,0.000519875,0.000519875,0.000519875
61,96.0782,1.1144,0.85994,1.3608,0.79864,0.9757,0.91657,0.78602,0.58723,0.86326,1.15597,0.0005075,0.0005075,0.0005075
62,97.5431,1.10151,0.81643,1.33976,0.80157,0.97315,0.89795,0.76851,0.59481,0.90848,1.16073,0.000495125,0.000495125,0.000495125
63,99.0742,1.10101,0.83063,1.36345,0.79864,0.99476,0.91278,0.77827,0.59855,0.79872,1.16662,0.00048275,0.00048275,0.00048275
64,100.604,1.0731,0.84873,1.36247,0.80595,0.99895,0.90716,0.77903,0.58989,0.73838,1.16758,0.000470375,0.000470375,0.000470375
65,102.067,1.09217,0.83128,1.33251,0.79427,0.99811,0.91234,0.77527,0.60614,0.75056,1.17664,0.000458,0.000458,0.000458
66,103.529,1.05508,0.85327,1.35798,0.7823,0.99039,0.91428,0.77808,0.65156,0.86774,1.19884,0.000445625,0.000445625,0.000445625
67,104.964,1.09501,0.82337,1.36265,0.79092,0.99462,0.92232,0.77714,0.66379,0.8537,1.1761,0.00043325,0.00043325,0.00043325
68,106.413,1.06584,0.82527,1.35217,0.79756,0.99491,0.92868,0.77893,0.64185,0.77694,1.17124,0.000420875,0.000420875,0.000420875
69,107.834,1.09937,0.85188,1.3622,0.80302,0.99637,0.91627,0.77994,0.61694,0.75395,1.17435,0.0004085,0.0004085,0.0004085
70,109.252,1.06237,0.80554,1.36024,0.79681,0.99418,0.90369,0.77342,0.57961,0.77859,1.16425,0.000396125,0.000396125,0.000396125
71,110.701,1.05152,0.78544,1.34369,0.79413,0.99161,0.89929,0.7663,0.57484,0.81211,1.17482,0.00038375,0.00038375,0.00038375
72,112.128,1.0793,0.8503,1.35052,0.79556,0.97919,0.90626,0.76357,0.58771,0.85115,1.1851,0.000371375,0.000371375,0.000371375
73,113.573,1.04391,0.81377,1.36967,0.79979,0.9803,0.908,0.7641,0.59127,0.87175,1.17813,0.000359,0.000359,0.000359
74,115.004,1.08223,0.79544,1.35135,0.79861,0.98717,0.90992,0.77418,0.60398,0.86407,1.18111,0.000346625,0.000346625,0.000346625
75,116.44,1.07282,0.81132,1.35089,0.80043,0.99188,0.91479,0.78063,0.61138,0.82762,1.17661,0.00033425,0.00033425,0.00033425
76,117.865,1.05401,0.77933,1.36613,0.80068,0.97907,0.90322,0.76442,0.62056,0.85097,1.16621,0.000321875,0.000321875,0.000321875
77,119.291,1.04416,0.82182,1.34871,0.80285,0.95919,0.90123,0.76106,0.62299,0.87104,1.16712,0.0003095,0.0003095,0.0003095
78,120.711,1.03672,0.79204,1.33924,0.80462,0.95429,0.88704,0.74298,0.63045,0.8688,1.17842,0.000297125,0.000297125,0.000297125
79,122.136,1.09135,0.81794,1.37011,0.79326,0.98569,0.8834,0.74527,0.63777,0.84623,1.18562,0.00028475,0.00028475,0.00028475
80,123.576,1.06858,0.79193,1.32958,0.79832,0.98515,0.89424,0.76359,0.60389,0.88088,1.15755,0.000272375,0.000272375,0.000272375
81,125.011,1.03998,0.78138,1.34455,0.80391,0.98447,0.90726,0.77916,0.57006,0.87864,1.1501,0.00026,0.00026,0.00026
82,126.436,1.07252,0.78281,1.3708,0.80121,0.98469,0.91641,0.78707,0.57549,0.83821,1.15268,0.000247625,0.000247625,0.000247625
83,127.874,1.04979,0.79299,1.32322,0.80235,0.97641,0.92163,0.78911,0.58677,0.82634,1.15167,0.00023525,0.00023525,0.00023525
84,129.33,1.04993,0.79203,1.30601,0.8015,0.94346,0.91218,0.78441,0.58097,0.89585,1.15074,0.000222875,0.000222875,0.000222875
85,130.764,1.09893,0.79419,1.39421,0.79375,0.93133,0.90468,0.77039,0.59657,0.9594,1.15995,0.0002105,0.0002105,0.0002105
86,132.179,1.04388,0.77625,1.3284,0.79192,0.92425,0.89362,0.76361,0.60844,0.99061,1.16608,0.000198125,0.000198125,0.000198125
87,133.62,1.07899,0.7856,1.35453,0.79298,0.92742,0.90056,0.76427,0.6077,0.93502,1.16859,0.00018575,0.00018575,0.00018575
88,135.039,0.98502,0.74438,1.33024,0.80304,0.94457,0.90706,0.77106,0.60536,0.86794,1.17382,0.000173375,0.000173375,0.000173375
89,136.468,1.02732,0.75836,1.32291,0.80003,0.9754,0.9194,0.78335,0.60783,0.83081,1.18381,0.000161,0.000161,0.000161
90,137.903,1.05745,0.79195,1.31848,0.80084,0.96562,0.92075,0.78421,0.60796,0.83324,1.19384,0.000148625,0.000148625,0.000148625
91,139.767,1.0164,0.77898,1.36792,0.79754,0.964,0.91912,0.78627,0.59876,0.84776,1.19281,0.00013625,0.00013625,0.00013625
92,141.221,1.00704,0.74843,1.33865,0.79685,0.93999,0.91603,0.78585,0.59514,0.87054,1.18682,0.000123875,0.000123875,0.000123875
93,142.675,1.02806,0.75246,1.36047,0.79611,0.9399,0.92252,0.79258,0.5953,0.88508,1.17234,0.0001115,0.0001115,0.0001115
94,144.134,1.00956,0.77205,1.33275,0.79629,0.93815,0.92279,0.79351,0.59763,0.88368,1.16937,9.9125e-05,9.9125e-05,9.9125e-05
95,145.559,1.01156,0.7654,1.32858,0.7992,0.93898,0.92849,0.7988,0.59761,0.86002,1.16668,8.675e-05,8.675e-05,8.675e-05
96,146.982,1.0123,0.74565,1.31748,0.80057,0.93968,0.92849,0.79765,0.59291,0.84927,1.16282,7.4375e-05,7.4375e-05,7.4375e-05
97,148.4,1.01054,0.76433,1.31691,0.80106,0.94078,0.93062,0.80344,0.58877,0.85007,1.15967,6.2e-05,6.2e-05,6.2e-05
98,149.824,1.00302,0.76207,1.34568,0.80083,0.95927,0.92949,0.80296,0.58522,0.84499,1.15408,4.9625e-05,4.9625e-05,4.9625e-05
99,151.243,0.98024,0.73013,1.29871,0.80275,0.94207,0.93006,0.80183,0.58179,0.84377,1.15318,3.725e-05,3.725e-05,3.725e-05
100,152.664,0.98366,0.74819,1.33888,0.80307,0.94231,0.9273,0.80014,0.58184,0.84464,1.15332,2.4875e-05,2.4875e-05,2.4875e-05
